id,photos_id,iconic_taxon,taxon_name,photos_medium_url,user_login,latitude,longitude,license_photo,attribution,path
447711,602922,mollusca,Acanthocardia tuberculata,https://minka-sdg.org/attachments/local_photos/files/602922/medium.jpg,elibonfill,41.2641907869,1.9902041182,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447711_602922.jpg
447710,602921,mollusca,Acanthocardia tuberculata,https://minka-sdg.org/attachments/local_photos/files/602921/medium.jpg,elibonfill,41.2641741536,1.9901139289,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447710_602921.jpg
447709,602920,mollusca,Donax semistriatus,https://minka-sdg.org/attachments/local_photos/files/602920/medium.jpg,elibonfill,41.2641537401,1.990211159,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447709_602920.jpg
447708,602919,mollusca,Donax semistriatus,https://minka-sdg.org/attachments/local_photos/files/602919/medium.jpg,elibonfill,41.2641512199,1.9905112311,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447708_602919.jpg
447707,602918,mollusca,Spisula subtruncata,https://minka-sdg.org/attachments/local_photos/files/602918/medium.jpg,elibonfill,41.2642033879,1.9903828204,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447707_602918.jpg
447706,602917,mollusca,Spisula subtruncata,https://minka-sdg.org/attachments/local_photos/files/602917/medium.jpg,elibonfill,41.2641764218,1.9903942198,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447706_602917.jpg
447705,602916,mollusca,Glycymeris glycymeris,https://minka-sdg.org/attachments/local_photos/files/602916/medium.jpg,elibonfill,41.2641645769,1.9905082136,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447705_602916.jpg
447704,602915,cnidaria,Velella velella,https://minka-sdg.org/attachments/local_photos/files/602915/medium.jpg,elibonfill,41.2641338306,1.99052196,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447704_602915.jpg
447703,602914,mollusca,Chamelea gallina,https://minka-sdg.org/attachments/local_photos/files/602914/medium.jpg,elibonfill,41.2642124606,1.9902936369,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447703_602914.jpg
447702,602913,mollusca,Spisula subtruncata,https://minka-sdg.org/attachments/local_photos/files/602913/medium.jpg,elibonfill,41.2640796464,1.99084986,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447702_602913.jpg
447701,602912,mollusca,Spisula subtruncata,https://minka-sdg.org/attachments/local_photos/files/602912/medium.jpg,elibonfill,41.26450455,1.9904478639,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447701_602912.jpg
447699,602910,plantae,Calystegia soldanella,https://minka-sdg.org/attachments/local_photos/files/602910/medium.jpg,elibonfill,41.2645032899,1.9887221977,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447699_602910.jpg
447697,602908,plantae,Eryngium maritimum,https://minka-sdg.org/attachments/local_photos/files/602908/medium.jpg,elibonfill,41.2645655384,1.9897783175,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447697_602908.jpg
447696,602907,plantae,Ammophila arenaria,https://minka-sdg.org/attachments/local_photos/files/602907/medium.jpg,elibonfill,41.2644881689,1.9908763468,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447696_602907.jpg
447694,602905,plantae,Eryngium maritimum,https://minka-sdg.org/attachments/local_photos/files/602905/medium.jpg,elibonfill,41.2645428568,1.9912632555,cc-by-nc,"(c) Elisabet Bonfill i Molina, some rights reserved (CC BY-NC)",447694_602905.jpg
447675,602816,plantae,Scirpoides holoschoenus,https://minka-sdg.org/attachments/local_photos/files/602816/medium.jpeg,xasalva,41.26500978,1.9584972033,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447675_602816.jpg
447674,602815,plantae,Paronychia argentea,https://minka-sdg.org/attachments/local_photos/files/602815/medium.jpeg,xasalva,41.26500978,1.9584972033,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447674_602815.jpg
447673,602814,plantae,Olea europaea,https://minka-sdg.org/attachments/local_photos/files/602814/medium.jpeg,xasalva,41.26500978,1.9584972033,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447673_602814.jpg
447670,602811,plantae,Xanthium orientale,https://minka-sdg.org/attachments/local_photos/files/602811/medium.jpeg,xasalva,41.2651203621,1.9597585064,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447670_602811.jpg
447669,602810,plantae,Xanthium orientale,https://minka-sdg.org/attachments/local_photos/files/602810/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447669_602810.jpg
447668,602809,plantae,Plantago coronopus,https://minka-sdg.org/attachments/local_photos/files/602809/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447668_602809.jpg
447667,602808,insecta,Psilothrix viridicoerulea,https://minka-sdg.org/attachments/local_photos/files/602808/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447667_602808.jpg
447666,602807,plantae,Salsola kali,https://minka-sdg.org/attachments/local_photos/files/602807/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447666_602807.jpg
447665,602806,plantae,Ammophila arenaria,https://minka-sdg.org/attachments/local_photos/files/602806/medium.jpeg,xasalva,41.2648462888,1.9612845207,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447665_602806.jpg
447664,602805,plantae,Marcus-kochia littorea,https://minka-sdg.org/attachments/local_photos/files/602805/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447664_602805.jpg
447664,602804,plantae,Marcus-kochia littorea,https://minka-sdg.org/attachments/local_photos/files/602804/medium.jpeg,xasalva,41.2649359001,1.9696111273,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447664_602804.jpg
447663,602803,plantae,Yucca,https://minka-sdg.org/attachments/local_photos/files/602803/medium.jpeg,xasalva,41.2650319574,1.9722304753,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447663_602803.jpg
447662,602803,mammalia,Felis catus,https://minka-sdg.org/attachments/local_photos/files/602803/medium.jpeg,xasalva,41.2650319574,1.9722304753,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447662_602803.jpg
447661,602802,plantae,Austrocylindropuntia cylindrica,https://minka-sdg.org/attachments/local_photos/files/602802/medium.jpeg,xasalva,41.2651287315,1.9731010135,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447661_602802.jpg
447660,602801,insecta,Pyrrhocoris apterus,https://minka-sdg.org/attachments/local_photos/files/602801/medium.jpeg,xasalva,41.2650601832,1.9739384234,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447660_602801.jpg
447659,602800,plantae,Opuntia stricta,https://minka-sdg.org/attachments/local_photos/files/602800/medium.jpeg,xasalva,41.2651036479,1.9741243794,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447659_602800.jpg
447658,602799,plantae,Aloe vera,https://minka-sdg.org/attachments/local_photos/files/602799/medium.jpeg,xasalva,41.2651036479,1.9741243794,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447658_602799.jpg
447657,602798,plantae,Agave americana americana,https://minka-sdg.org/attachments/local_photos/files/602798/medium.jpeg,xasalva,41.2651036479,1.9741243794,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447657_602798.jpg
447656,602797,insecta,Hymenoplia,https://minka-sdg.org/attachments/local_photos/files/602797/medium.jpeg,xasalva,41.2649679364,1.9756009123,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447656_602797.jpg
447655,602796,insecta,Hymenoplia,https://minka-sdg.org/attachments/local_photos/files/602796/medium.jpeg,xasalva,41.2649008703,1.96725226,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447655_602796.jpg
447654,602795,plantae,Agave americana,https://minka-sdg.org/attachments/local_photos/files/602795/medium.jpeg,xasalva,41.2651220018,1.975795971,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447654_602795.jpg
447652,602793,plantae,Papaver rhoeas,https://minka-sdg.org/attachments/local_photos/files/602793/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447652_602793.jpg
447651,602792,insecta,Pieris rapae,https://minka-sdg.org/attachments/local_photos/files/602792/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447651_602792.jpg
447650,602791,plantae,Cyperus capitatus,https://minka-sdg.org/attachments/local_photos/files/602791/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447650_602791.jpg
447649,602790,insecta,Messor,https://minka-sdg.org/attachments/local_photos/files/602790/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447649_602790.jpg
447648,602789,plantae,Eryngium maritimum,https://minka-sdg.org/attachments/local_photos/files/602789/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447648_602789.jpg
447647,602788,insecta,Hymenoplia,https://minka-sdg.org/attachments/local_photos/files/602788/medium.jpeg,xasalva,41.2649327343,1.9777674722,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447647_602788.jpg
447645,602786,aves,Passer domesticus,https://minka-sdg.org/attachments/local_photos/files/602786/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447645_602786.jpg
447644,602785,aves,Passer domesticus,https://minka-sdg.org/attachments/local_photos/files/602785/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447644_602785.jpg
447643,602784,aves,Passer domesticus,https://minka-sdg.org/attachments/local_photos/files/602784/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447643_602784.jpg
447642,602783,plantae,Marcus-kochia littorea,https://minka-sdg.org/attachments/local_photos/files/602783/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447642_602783.jpg
447640,602780,plantae,Medicago marina,https://minka-sdg.org/attachments/local_photos/files/602780/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447640_602780.jpg
447639,602779,insecta,Exhyalanthrax muscarius,https://minka-sdg.org/attachments/local_photos/files/602779/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447639_602779.jpg
447638,602778,plantae,Centaurea aspera,https://minka-sdg.org/attachments/local_photos/files/602778/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447638_602778.jpg
447637,602777,plantae,Calystegia soldanella,https://minka-sdg.org/attachments/local_photos/files/602777/medium.jpeg,xasalva,41.264990071,1.9805918878,cc-by-nc,"(c) xavi salvador costa, some rights reserved (CC BY-NC)",447637_602777.jpg
